2025-09-07 14:33:22,480 - INFO - Database connection established
2025-09-07 14:33:22,800 - INFO - uk_absence_data table already exists
2025-09-07 14:33:22,959 - INFO - Starting data upload for Wales schools...
2025-09-07 14:33:22,969 - INFO - Found 1464 schools in CSV file
2025-09-07 14:33:59,199 - INFO - [111/1464] Updated: Ysgol Bro Llifon - Lit: None, Math: None, Sci: None
2025-09-07 14:33:59,518 - INFO - [112/1464] Updated: YSGOL PONT Y GOF - Lit: None, Math: None, Sci: None
2025-09-07 14:33:59,837 - INFO - [113/1464] Updated: Ysgol Gynradd Maesincla - Lit: None, Math: None, Sci: None
2025-09-07 14:34:00,157 - INFO - [114/1464] Updated: Ysgol Y Faenol - Lit: None, Math: None, Sci: None
2025-09-07 14:34:00,475 - INFO - [115/1464] Updated: YSGOL FOEL GRON - Lit: None, Math: None, Sci: None
2025-09-07 14:34:00,794 - INFO - [116/1464] Updated: Ysgol Llandygai - Lit: None, Math: None, Sci: None
2025-09-07 14:34:01,112 - INFO - [117/1464] Updated: Ysgol Gynradd Llandwrog - Lit: None, Math: None, Sci: None
2025-09-07 14:34:01,432 - INFO - [118/1464] Updated: Ysgol Gynradd Llanystumdwy - Lit: None, Math: None, Sci: None
2025-09-07 14:34:01,751 - INFO - [119/1464] Updated: Ysgol Tregarth - Lit: None, Math: None, Sci: None
2025-09-07 14:34:02,070 - INFO - [120/1464] Updated: Ysgol Cae Top - Lit: None, Math: None, Sci: None
2025-09-07 14:34:02,388 - INFO - [121/1464] Updated: Ysgol Santes Helen - Lit: None, Math: None, Sci: None
2025-09-07 14:34:02,707 - INFO - [122/1464] Updated: Ysgol Ein Harglwyddes - Lit: None, Math: None, Sci: None
2025-09-07 14:34:03,026 - INFO - [123/1464] Updated: Ysgol Dyffryn Ogwen Bethesda - Lit: None, Math: None, Sci: None
2025-09-07 14:34:03,345 - INFO - [124/1464] Updated: Ysgol Botwnnog - Lit: None, Math: None, Sci: None
2025-09-07 14:34:03,664 - INFO - [125/1464] Updated: Ysgol Brynrefail - Lit: None, Math: None, Sci: None
2025-09-07 14:34:03,983 - INFO - [126/1464] Updated: Ysgol Dyffryn Nantlle - Lit: None, Math: None, Sci: None
