Local Authority,SeedCode,School Name,School Type,Teachers (Full Time Equivalent) [Note 1],Pupil roll,Pupil Teacher Ratio,Average class size,Female,Male,P1,P2,P3,P4,P5,P6,P7,S1,S2,S3,S4,S5,S6,Special school pupils,Pupils with an Additional Support Need recorded,Pupils with no Additional Support Needs recorded,Pupils with English as an Additional Language [Note 2],Pupils without English as an Additional Language [Note 2],Pupils taught in Gaelic [Note 3],Pupils with no Gaelic taught [Note 3],White - British [Note 4],White - Other [Note 4],Minority Ethnic [Note 4],Not known/not disclosed [Note 4],P1-P5 pupils registered for free school meals [Note 5],Percentage of P1-P5 pupils registered for free school meals [Note 5],P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],Percentage of P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],SIMD Quintile 1 [Note 6],SIMD Quintile 2 [Note 6],SIMD Quintile 3 [Note 6],SIMD Quintile 4 [Note 6],SIMD Quintile 5 [Note 6],SIMD not availble [Note 6],Urban [Note 7],Small town [Note 7],Rural [Note 7],Urban/rural classification not available [Note 7],Attendance rate (%)[Note 8] [Note 9],Authorised absence rate (%) [Note 8] [Note 9],Unauthorised absence rate (%)[Note 8] [Note 9],Absence due to temporary exclusion rate (%) [Note 8] [Note 9],School's 6-fold urban/rural classification,School's 8-fold urban/rural classification,Denomination of school,,
Aberdeen City,5241022,Muirfield School,Primary,10.5,171,16.3,24.4,85,86,18,32,28,20,24,23,26,z,z,z,z,z,z,z,86,85,22,149,0,171,129,18,15,9,122,100,14,28.6,56,94,10,6,5,0,90-100%,0-10%,0-10%,0-10%,89.6,7.1,3.2,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5241227,Quarryhill School,Primary,17.5,261,14.9,20.1,121,140,37,36,38,31,38,41,40,z,z,z,z,z,z,z,94,167,50,211,0,261,191,44,20,6,180,100,17,21,15,171,64,C,8,C,90-100%,0-10%,0-10%,0-10%,89.7,6.9,3.4,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5230420,Riverbank School,Primary,19.0,308,16.3,23.7,150,158,49,41,34,44,46,56,38,z,z,z,z,z,z,z,145,163,101,207,0,308,151,105,49,C,214,100,40,42.6,126,166,C,C,11,0,90-100%,0-10%,0-10%,0-10%,89.1,6.4,4.5,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5234123,Scotstown School,Primary,11.2,214,19.1,23.8,112,102,34,31,26,29,38,33,23,z,z,z,z,z,z,z,86,128,22,192,0,214,165,17,30,C,158,100,11,19.6,5,16,32,70,90,C,90-100%,0-10%,0-10%,0-10%,92.4,5.0,2.6,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5241529,Seaton School,Primary,13.8,186,13.5,20.7,95,91,23,22,25,25,36,29,26,z,z,z,z,z,z,z,132,54,100,86,0,186,59,70,49,8,131,100,19,34.5,84,76,7,9,10,0,90-100%,0-10%,0-10%,0-10%,90.6,6.2,3.2,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5241421,Skene Square School,Primary,24.2,428,17.7,28.5,242,186,52,45,64,75,64,64,64,z,z,z,z,z,z,z,259,169,135,293,0,428,91,72,261,C,300,100,18,14.1,39,97,167,59,66,0,90-100%,0-10%,0-10%,0-10%,92.5,5.0,2.4,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5241928,St Joseph&apos;s RC School,Primary,23.5,403,17.1,28.8,177,226,49,54,56,54,66,64,60,z,z,z,z,z,z,z,47,356,66,337,0,403,62,52,267,22,279,100,C,C,19,67,62,66,189,0,80-90%,0-10%,10-20%,0-10%,95.4,3.5,1.0,C,Large urban areas,Large urban areas,Roman Catholic,,
Aberdeen City,5242126,St Peter&apos;s RC School,Primary,12.6,187,14.8,23.4,93,94,22,29,29,28,34,23,22,z,z,z,z,z,z,z,112,75,43,144,0,187,10,56,121,0,142,100,5,11.1,35,69,23,25,35,0,90-100%,0-10%,0-10%,0-10%,94.8,3.3,1.9,0.0,Large urban areas,Large urban areas,Roman Catholic,,
Aberdeen City,5235421,Stoneywood School,Primary,21.5,427,19.9,25.1,188,239,58,70,70,73,54,58,44,z,z,z,z,z,z,z,154,273,54,373,0,427,260,60,105,C,325,100,16,15.7,C,34,123,114,153,C,80-90%,0-10%,10-20%,0-10%,93.4,5.1,1.6,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5242223,Sunnybank School,Primary,17.9,334,18.7,22.3,163,171,57,48,49,47,43,34,56,z,z,z,z,z,z,z,204,130,138,196,0,334,79,77,174,C,244,100,30,33.3,19,208,18,58,31,0,90-100%,0-10%,0-10%,0-10%,90.3,7.5,2.2,C,Large urban areas,Large urban areas,Non-denominational,,
