urn,status,reason,school_rows_updated,absence_inserted,absence_rows_updated,total_pupils,percentage_fsm,english_score,math_score,science_score,attendance_pct
6652268,ok,,1,0,1,342,,,,,
6652269,ok,,1,0,1,270,,,,,
6652270,ok,,1,0,1,321,,,,,
6652271,ok,,1,0,1,350,,,,,
6652272,ok,,1,0,1,230,,,,,
6652273,ok,,1,0,1,285,,,,,
6652274,ok,,1,0,1,248,,,,,
6652275,ok,,1,0,1,187,,,,,
6652276,ok,,1,0,1,334,,,,,
6652277,ok,,1,0,1,451,,,,,
6652278,ok,,1,0,1,325,,,,,
6652279,ok,,1,0,1,280,,,,,
6652280,ok,,1,0,1,337,,,,,
6652281,ok,,1,0,1,440,,,,,
6652282,ok,,1,0,1,22,,,,,
6653028,ok,,1,0,1,201,,,,,
6653036,ok,,1,0,1,47,,,,,
6653042,ok,,1,0,1,52,,,,,
6653054,ok,,1,0,1,16,,,,,
6653055,ok,,1,0,1,380,,,,,
6653301,ok,,1,0,1,46,,,,,
6653305,ok,,1,0,1,124,,,,,
6653326,ok,,1,0,1,101,,,,,
6653334,ok,,1,0,1,359,,,,,
6653337,ok,,1,0,1,102,,,,,
6653338,ok,,1,0,1,343,,,,,
6653341,ok,,1,0,1,204,,,,,
6653342,ok,,1,0,1,131,,,,,
6653343,ok,,1,0,1,179,,,,,
6653346,ok,,1,0,1,154,,,,,
6653347,ok,,1,0,1,35,,,,,
6654029,ok,,1,0,1,575,,,,,
6654032,ok,,1,0,1,889,,,,,
6654033,ok,,1,0,1,677,,,,,
6654034,ok,,1,0,1,735,,,,,
6654044,ok,,1,0,1,519,,,,,
6654048,ok,,1,0,1,1082,,,,,
6654049,ok,,1,0,1,843,,,,,
6654603,ok,,1,0,1,734,,,,,
6655401,ok,,1,0,1,800,,,,,
6657005,ok,,1,0,1,278,,,,,
6662002,ok,,1,0,1,83,,,,,
6662003,ok,,1,0,1,115,,,,,
6662005,ok,,1,0,1,99,,,,,
6662008,ok,,1,0,1,74,,,,,
6662009,ok,,1,0,1,43,,,,,
6662010,ok,,1,0,1,102,,,,,
6662018,ok,,1,0,1,75,,,,,
6662019,ok,,1,0,1,44,,,,,
6662020,ok,,1,0,1,31,,,,,
6662033,ok,,1,0,1,61,,,,,
6662040,ok,,1,0,1,272,,,,,
6662041,ok,,1,0,1,66,,,,,
6662044,ok,,1,0,1,100,,,,,
6662049,ok,,1,0,1,153,,,,,
6662050,ok,,1,0,1,261,,,,,
6662051,ok,,1,0,1,140,,,,,
6662053,ok,,1,0,1,32,,,,,
6662054,ok,,1,0,1,39,,,,,
6662058,ok,,1,0,1,75,,,,,
6662059,ok,,1,0,1,78,,,,,
6662060,ok,,1,0,1,99,,,,,
6662062,ok,,1,0,1,106,,,,,
6662066,ok,,1,0,1,39,,,,,
6662068,ok,,1,0,1,57,,,,,
6662070,ok,,1,0,1,204,,,,,
6662075,ok,,1,0,1,169,,,,,
6662076,ok,,1,0,1,49,,,,,
6662077,ok,,1,0,1,151,,,,,
6662084,ok,,1,0,1,52,,,,,
6662089,ok,,1,0,1,210,,,,,
6662092,ok,,1,0,1,107,,,,,
6662113,ok,,1,0,1,221,,,,,
6662116,ok,,1,0,1,186,,,,,
6662117,ok,,1,0,1,101,,,,,
6662125,ok,,1,0,1,190,,,,,
6662127,ok,,1,0,1,97,,,,,
6662129,ok,,1,0,1,144,,,,,
6662146,ok,,1,0,1,84,,,,,
6662147,ok,,1,0,1,25,,,,,
6662148,ok,,1,0,1,195,,,,,
6662149,ok,,1,0,1,117,,,,,
6662150,ok,,1,0,1,176,,,,,
6662151,ok,,1,0,1,207,,,,,
6662152,ok,,1,0,1,344,,,,,
6662153,ok,,1,0,1,106,,,,,
6662154,ok,,1,0,1,96,,,,,
6662155,ok,,1,0,1,250,,,,,
6662156,ok,,1,0,1,,,,,,
6663000,ok,,1,0,1,43,,,,,
6663002,ok,,1,0,1,105,,,,,
6663016,ok,,1,0,1,69,,,,,
6663021,ok,,1,0,1,56,,,,,
6663026,ok,,1,0,1,35,,,,,
6663030,ok,,1,0,1,208,,,,,
6663031,ok,,1,0,1,108,,,,,
6663033,ok,,1,0,1,67,,,,,
6663035,ok,,1,0,1,179,,,,,
6663036,ok,,1,0,1,240,,,,,
6663037,ok,,1,0,1,93,,,,,
6663050,ok,,1,0,1,141,,,,,
6663051,ok,,1,0,1,273,,,,,
6663301,ok,,1,0,1,87,,,,,
6663303,ok,,1,0,1,103,,,,,
6663317,ok,,1,0,1,130,,,,,
6663318,ok,,1,0,1,157,,,,,
6663320,ok,,1,0,1,61,,,,,
6663322,ok,,1,0,1,96,,,,,
6663323,ok,,1,0,1,41,,,,,
6664002,ok,,1,0,1,712,,,,,
6664011,ok,,1,0,1,934,,,,,
6664013,ok,,1,0,1,789,,,,,
6664021,ok,,1,0,1,542,,,,,
6664022,ok,,1,0,1,556,,,,,
6664023,ok,,1,0,1,502,,,,,
6664024,ok,,1,0,1,931,,,,,
6664025,ok,,1,0,1,976,,,,,
6665500,ok,,1,0,1,424,,,,,
6665501,ok,,1,0,1,791,,,,,
6665502,ok,,1,0,1,547,,,,,
6667001,ok,,1,0,1,71,,,,,
6667002,ok,,1,0,1,106,,,,,
6667004,ok,,1,0,1,111,,,,,
6672281,ok,,1,0,1,231,,,,,
6672291,ok,,1,0,1,66,,,,,
6672293,ok,,1,0,1,42,,,,,
6672295,ok,,1,0,1,79,,,,,
6672298,ok,,1,0,1,36,,,,,
6672299,ok,,1,0,1,375,,,,,
6672303,ok,,1,0,1,139,,,,,
6672308,ok,,1,0,1,36,,,,,
6672309,ok,,1,0,1,19,,,,,
6672310,ok,,1,0,1,30,,,,,
6672311,ok,,1,0,1,110,,,,,
6672312,ok,,1,0,1,42,,,,,
6672313,ok,,1,0,1,41,,,,,
6672314,ok,,1,0,1,256,,,,,
6672315,ok,,1,0,1,22,,,,,
6672316,ok,,1,0,1,200,,,,,
6672317,ok,,1,0,1,64,,,,,
6672319,ok,,1,0,1,185,,,,,
6672323,ok,,1,0,1,61,,,,,
6672324,ok,,1,0,1,103,,,,,
6672353,ok,,1,0,1,58,,,,,
6672361,ok,,1,0,1,466,,,,,
6672362,ok,,1,0,1,29,,,,,
6672363,ok,,1,0,1,105,,,,,
6672366,ok,,1,0,1,101,,,,,
6672367,ok,,1,0,1,94,,,,,
6672368,ok,,1,0,1,399,,,,,
6672369,ok,,1,0,1,115,,,,,
6672371,ok,,1,0,1,163,,,,,
6672372,ok,,1,0,1,53,,,,,
6672374,ok,,1,0,1,,,,,,
6673058,ok,,1,0,1,84,,,,,
6673061,ok,,1,0,1,119,,,,,
6673318,ok,,1,0,1,144,,,,,
6674042,ok,,1,0,1,590,,,,,
6674044,ok,,1,0,1,605,,,,,
6674047,ok,,1,0,1,1083,,,,,
6674048,ok,,1,0,1,598,,,,,
6675500,ok,,1,0,1,1012,,,,,
6675501,ok,,1,0,1,381,,,,,
6675502,ok,,1,0,1,877,,,,,
6682203,ok,,1,0,1,110,,,,,
6682209,ok,,1,0,1,89,,,,,
