School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6612028,Ysgol Penybryn,661,Gwynedd,Primary,Community,WM,Welsh medium,Juniors,---,Bethesda,Gwynedd,,,LL57 3BE,01248600375,117,,,,,,,,,,
6612033,Ysgol Treferthyr,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ysgol Treferthyr,Ffordd Pwllheli,Cricieth,Gwynedd,LL52 0RR,01766522300,115,,,,,,,,,,
6612036,Ysgol Gynradd Chwilog,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Chwilog,Pwllheli,Gwynedd,,LL53 6PS,01766810627,89,,,,,,,,,,
6612039,YSGOL CRUD-Y-WERIN,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Aberdaron,Pwllheli,Gwynedd,,LL53 8BP,01758760205,61,,,,,,,,,,
6612042,Ysgol Dolbadarn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanberis,Gwynedd,,,LL55 4SH,01286870711,140,,,,,,,,,,
6612046,Ysgol Gynradd Edern,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd y Rhos,Edern,Pwllheli,Gwynedd,LL53 8YW,01758720272,77,,,,,,,,,,
6612048,Ysgol Bro Plenydd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Ffor,Pwllheli,Gwynedd,,LL53 6UP,01766810625,86,,,,,,,,,,
6612049,Ysgol Gynradd Garndolbenmaen,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Garndolbenmaen,Gwynedd,,,LL51 9SZ,01766530626,21,,,,,,,,,,
6612060,Ysgol Gynradd Llanbedrog,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrog,Pwllheli,Gwynedd,,LL53 7NU,01758740631,96,,,,,,,,,,
6612066,Ysgol Gynradd Llangybi,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangybi,Pwllheli,Gwynedd,,LL53 6DQ,01766810564,29,,,,,,,,,,
6612069,Ysgol Llanllechid,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllechid,Bangor,Gwynedd,,LL57 3EH,01248600600,277,,,,,,,,,,
6612070,Ysgol Gynradd Llanllyfni,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllyfni,Caernarfon,Gwynedd,,LL54 6SH,01286880729,66,,,,,,,,,,
6612075,YSGOL BABANOD MORFA NEFYN,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Morfa Nefyn,Pwllheli,Gwynedd,,LL53 6AR,01758720870,23,,,,,,,,,,
6612078,Ysgol Baladeulyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nantlle,Caernarfon,Gwynedd,,LL54 6BT,01286880884,19,,,,,,,,,,
6612081,Ysgol Gynradd Nebo,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nebo,Caernarfon,Gwynedd,,LL54 6EE,01286881273,14,,,,,,,,,,
6612085,Ysgol Gymuned Penisarwaun,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penisarwaen,Caernarfon,Gwynedd,,LL55 3BW,01286870879,45,,,,,,,,,,
6612089,Ysgol Bro Lleu,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penygroes,Caernarfon,Gwynedd,,LL54 6RL,01286880883,201,,,,,,,,,,
6612093,YSGOL GYNRADD  PENTREUCHAF,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentreuchaf,Pwllheli,Gwynedd,,LL53 8DZ,01758750600,93,,,,,,,,,,
